Name,Abbreviation,FIPS,2015,2016,2017,2018,2019
Alabama,AL,1,4858979,4863300,4874747,4887871,4903185
Alaska,AK,2,738432,741894,739795,737438,731545
Arizona,AZ,4,6828065,6931071,7016270,7171646,7278717
Arkansas,AR,5,2978204,2988248,3004279,3013825,3017804
California,CA,6,39144818,39250017,39536653,39557045,39512223
Colorado,CO,8,5456574,5540545,5607154,5695564,5758736
Connecticut,CT,9,3590886,3576452,3588184,3572665,3565287
Delaware,DE,10,945934,952065,961939,967171,973764
Florida,FL,12,20271272,681170,693972,702455,705749
Georgia,GA,13,10214860,20612439,20984400,21299325,21477737
Hawaii,HI,15,1431603,10310371,10429379,10519475,10617423
Idaho,ID,16,1654930,1428557,1427538,1420491,1415872
Illinois,IL,17,12859995,1683140,1716943,1754208,1787065
Indiana,IN,18,6619680,12801539,12802023,12741080,12671821
Iowa,IA,19,3123899,6633053,6666818,6691878,6732219
Kansas,KS,20,2911641,3134693,3145711,3156145,3155070
Kentucky,KY,21,4425092,2907289,2913123,2911505,2913314
Louisiana,LA,22,4670724,4436974,4454189,4468402,4467673
Maine,ME,23,1329328,4681666,4684333,4659978,4648794
Maryland,MD,24,6006401,1331479,1335907,1338404,1344212
Massachusetts,MA,25,6794422,6016447,6052177,6042718,6045680
Michigan,MI,26,9922576,6811779,6859819,6902149,6892503
Minnesota,MN,27,5489594,9928300,9962311,9995915,9986857
Mississippi,MS,28,2992333,5519952,5576606,5611179,5639632
Missouri,MO,29,6083672,2988726,2984100,2986530,2976149
Montana,MT,30,1032949,6093000,6113532,6126452,6137428
Nebraska,NE,31,1896190,1042520,1050493,1062305,1068778
Nevada,NV,32,2890845,1907116,1920076,1929268,1934408
New Hampshire,NH,33,1330608,2940058,2998039,3034392,3080156
New Jersey,NJ,34,8958013,1334795,1342795,1356458,1359711
New Mexico,NM,35,2085109,8944469,9005644,8908520,8882190
New York,NY,36,19795791,2081015,2088070,2095428,2096829
North Carolina,NC,37,10042802,19745289,19849399,19542209,19453561
North Dakota,ND,38,756927,10146788,10273419,10383620,10488084
Ohio,OH,39,11613423,757952,755393,760077,762062
Oklahoma,OK,40,3911338,11614373,11658609,11689442,11689100
Oregon,OR,41,4028977,3923561,3930864,3943079,3956971
Pennsylvania,PA,42,12802503,4093465,4142776,4190713,4217737
Rhode Island,RI,44,1056298,12784227,12805537,12807060,12801989
South Carolina,SC,45,4896146,1056426,1059639,1057315,1059361
South Dakota,SD,46,858469,4961119,5024369,5084127,5148714
Tennessee,TN,47,6600299,865454,869666,882235,884659
Texas,TX,48,27469114,6651194,6715984,6770010,6829174
Utah,UT,49,2995919,27862596,28304596,28701845,28995881
Vermont,VT,50,626042,3051217,3101833,3161105,623989
Virginia,VA,51,8382993,624594,623657,626299,3205958
Washington,WA,53,7170351,8411808,8470020,8517685,8535519
West Virginia,WV,54,1844128,7288000,7405743,7535591,7614893
Wisconsin,WI,55,5771337,1831102,1815857,1805832,1792147
Wyoming,WY,56,586107,5778708,5795483,5813568,5822434
